Question,Answer
What is the tuition fee for program 1?,The tuition fee for program 1 is $10100 per year.
What is the tuition fee for program 2?,The tuition fee for program 2 is $10200 per year.
What is the tuition fee for program 3?,The tuition fee for program 3 is $10300 per year.
What is the tuition fee for program 4?,The tuition fee for program 4 is $10400 per year.
What is the tuition fee for program 5?,The tuition fee for program 5 is $10500 per year.
What is the tuition fee for program 6?,The tuition fee for program 6 is $10600 per year.
What is the tuition fee for program 7?,The tuition fee for program 7 is $10700 per year.
What is the tuition fee for program 8?,The tuition fee for program 8 is $10800 per year.
What is the tuition fee for program 9?,The tuition fee for program 9 is $10900 per year.
What is the tuition fee for program 10?,The tuition fee for program 10 is $11000 per year.
What is the tuition fee for program 11?,The tuition fee for program 11 is $11100 per year.
What is the tuition fee for program 12?,The tuition fee for program 12 is $11200 per year.
What is the tuition fee for program 13?,The tuition fee for program 13 is $11300 per year.
What is the tuition fee for program 14?,The tuition fee for program 14 is $11400 per year.
What is the tuition fee for program 15?,The tuition fee for program 15 is $11500 per year.
What is the tuition fee for program 16?,The tuition fee for program 16 is $11600 per year.
What is the tuition fee for program 17?,The tuition fee for program 17 is $11700 per year.
What is the tuition fee for program 18?,The tuition fee for program 18 is $11800 per year.
What is the tuition fee for program 19?,The tuition fee for program 19 is $11900 per year.
What is the tuition fee for program 20?,The tuition fee for program 20 is $12000 per year.
What is the tuition fee for program 21?,The tuition fee for program 21 is $12100 per year.
What is the tuition fee for program 22?,The tuition fee for program 22 is $12200 per year.
What is the tuition fee for program 23?,The tuition fee for program 23 is $12300 per year.
What is the tuition fee for program 24?,The tuition fee for program 24 is $12400 per year.
What is the tuition fee for program 25?,The tuition fee for program 25 is $12500 per year.
What is the tuition fee for program 26?,The tuition fee for program 26 is $12600 per year.
What is the tuition fee for program 27?,The tuition fee for program 27 is $12700 per year.
What is the tuition fee for program 28?,The tuition fee for program 28 is $12800 per year.
What is the tuition fee for program 29?,The tuition fee for program 29 is $12900 per year.
What is the tuition fee for program 30?,The tuition fee for program 30 is $13000 per year.
What is the tuition fee for program 31?,The tuition fee for program 31 is $13100 per year.
What is the tuition fee for program 32?,The tuition fee for program 32 is $13200 per year.
What is the tuition fee for program 33?,The tuition fee for program 33 is $13300 per year.
What is the tuition fee for program 34?,The tuition fee for program 34 is $13400 per year.
What is the tuition fee for program 35?,The tuition fee for program 35 is $13500 per year.
What is the tuition fee for program 36?,The tuition fee for program 36 is $13600 per year.
What is the tuition fee for program 37?,The tuition fee for program 37 is $13700 per year.
What is the tuition fee for program 38?,The tuition fee for program 38 is $13800 per year.
What is the tuition fee for program 39?,The tuition fee for program 39 is $13900 per year.
What is the tuition fee for program 40?,The tuition fee for program 40 is $14000 per year.
What is the tuition fee for program 41?,The tuition fee for program 41 is $14100 per year.
What is the tuition fee for program 42?,The tuition fee for program 42 is $14200 per year.
What is the tuition fee for program 43?,The tuition fee for program 43 is $14300 per year.
What is the tuition fee for program 44?,The tuition fee for program 44 is $14400 per year.
What is the tuition fee for program 45?,The tuition fee for program 45 is $14500 per year.
What is the tuition fee for program 46?,The tuition fee for program 46 is $14600 per year.
What is the tuition fee for program 47?,The tuition fee for program 47 is $14700 per year.
What is the tuition fee for program 48?,The tuition fee for program 48 is $14800 per year.
What is the tuition fee for program 49?,The tuition fee for program 49 is $14900 per year.
What is the tuition fee for program 50?,The tuition fee for program 50 is $15000 per year.
What is the tuition fee for program 51?,The tuition fee for program 51 is $15100 per year.
What is the tuition fee for program 52?,The tuition fee for program 52 is $15200 per year.
What is the tuition fee for program 53?,The tuition fee for program 53 is $15300 per year.
What is the tuition fee for program 54?,The tuition fee for program 54 is $15400 per year.
What is the tuition fee for program 55?,The tuition fee for program 55 is $15500 per year.
What is the tuition fee for program 56?,The tuition fee for program 56 is $15600 per year.
What is the tuition fee for program 57?,The tuition fee for program 57 is $15700 per year.
What is the tuition fee for program 58?,The tuition fee for program 58 is $15800 per year.
What is the tuition fee for program 59?,The tuition fee for program 59 is $15900 per year.
What is the tuition fee for program 60?,The tuition fee for program 60 is $16000 per year.
What is the tuition fee for program 61?,The tuition fee for program 61 is $16100 per year.
What is the tuition fee for program 62?,The tuition fee for program 62 is $16200 per year.
What is the tuition fee for program 63?,The tuition fee for program 63 is $16300 per year.
What is the tuition fee for program 64?,The tuition fee for program 64 is $16400 per year.
What is the tuition fee for program 65?,The tuition fee for program 65 is $16500 per year.
What is the tuition fee for program 66?,The tuition fee for program 66 is $16600 per year.
What is the tuition fee for program 67?,The tuition fee for program 67 is $16700 per year.
What is the tuition fee for program 68?,The tuition fee for program 68 is $16800 per year.
What is the tuition fee for program 69?,The tuition fee for program 69 is $16900 per year.
What is the tuition fee for program 70?,The tuition fee for program 70 is $17000 per year.
What is the tuition fee for program 71?,The tuition fee for program 71 is $17100 per year.
What is the tuition fee for program 72?,The tuition fee for program 72 is $17200 per year.
What is the tuition fee for program 73?,The tuition fee for program 73 is $17300 per year.
What is the tuition fee for program 74?,The tuition fee for program 74 is $17400 per year.
What is the tuition fee for program 75?,The tuition fee for program 75 is $17500 per year.
What is the tuition fee for program 76?,The tuition fee for program 76 is $17600 per year.
What is the tuition fee for program 77?,The tuition fee for program 77 is $17700 per year.
What is the tuition fee for program 78?,The tuition fee for program 78 is $17800 per year.
What is the tuition fee for program 79?,The tuition fee for program 79 is $17900 per year.
What is the tuition fee for program 80?,The tuition fee for program 80 is $18000 per year.
What is the tuition fee for program 81?,The tuition fee for program 81 is $18100 per year.
What is the tuition fee for program 82?,The tuition fee for program 82 is $18200 per year.
What is the tuition fee for program 83?,The tuition fee for program 83 is $18300 per year.
What is the tuition fee for program 84?,The tuition fee for program 84 is $18400 per year.
What is the tuition fee for program 85?,The tuition fee for program 85 is $18500 per year.
What is the tuition fee for program 86?,The tuition fee for program 86 is $18600 per year.
What is the tuition fee for program 87?,The tuition fee for program 87 is $18700 per year.
What is the tuition fee for program 88?,The tuition fee for program 88 is $18800 per year.
What is the tuition fee for program 89?,The tuition fee for program 89 is $18900 per year.
What is the tuition fee for program 90?,The tuition fee for program 90 is $19000 per year.
What is the tuition fee for program 91?,The tuition fee for program 91 is $19100 per year.
What is the tuition fee for program 92?,The tuition fee for program 92 is $19200 per year.
What is the tuition fee for program 93?,The tuition fee for program 93 is $19300 per year.
What is the tuition fee for program 94?,The tuition fee for program 94 is $19400 per year.
What is the tuition fee for program 95?,The tuition fee for program 95 is $19500 per year.
What is the tuition fee for program 96?,The tuition fee for program 96 is $19600 per year.
What is the tuition fee for program 97?,The tuition fee for program 97 is $19700 per year.
What is the tuition fee for program 98?,The tuition fee for program 98 is $19800 per year.
What is the tuition fee for program 99?,The tuition fee for program 99 is $19900 per year.
What is the tuition fee for program 100?,The tuition fee for program 100 is $20000 per year.
What is the tuition fee for program 101?,The tuition fee for program 101 is $20100 per year.
What is the tuition fee for program 102?,The tuition fee for program 102 is $20200 per year.
What is the tuition fee for program 103?,The tuition fee for program 103 is $20300 per year.
What is the tuition fee for program 104?,The tuition fee for program 104 is $20400 per year.
What is the tuition fee for program 105?,The tuition fee for program 105 is $20500 per year.
What is the tuition fee for program 106?,The tuition fee for program 106 is $20600 per year.
What is the tuition fee for program 107?,The tuition fee for program 107 is $20700 per year.
What is the tuition fee for program 108?,The tuition fee for program 108 is $20800 per year.
What is the tuition fee for program 109?,The tuition fee for program 109 is $20900 per year.
What is the tuition fee for program 110?,The tuition fee for program 110 is $21000 per year.
What is the tuition fee for program 111?,The tuition fee for program 111 is $21100 per year.
What is the tuition fee for program 112?,The tuition fee for program 112 is $21200 per year.
What is the tuition fee for program 113?,The tuition fee for program 113 is $21300 per year.
What is the tuition fee for program 114?,The tuition fee for program 114 is $21400 per year.
What is the tuition fee for program 115?,The tuition fee for program 115 is $21500 per year.
